,CONTENT,ABUSE
0,I keep telling you $1000.00 yes or no,0
1,Check on my disaster this is malcolm magee,0
2,OK thank you,0
3,Stop u all can't help or won't,0
4,Label swap,0
5,U say cash app ain't a bank it's my bank,0
6,I will be making a payment on 10/15/21,0
7,Fuck off you fucking people are liers,1
8,"THISISUSSERIES ""ORATORY EXCELLENCE WHILE METAPHORICALLY MESMERIZING",0
9,Thx You,0
10,I would like to receive text messages regarding appointments etc.,0
11,Not Sandy,0
12,"Driving, can't text. Sent from MY KICKS",0
13,my option is to change MF banks,0
14,Stop towns,0
15,What is the cost?,0
16,I need more time to make payments,0
17,I provided that info at the bottom of my last text.,0
18,"Irene Abercrombie 4879 30920 17th Ave SW, Apt C-111 Federal Way, WA 98023",0
19,I will be there,0
20,ACCEPT ACCEPT2 ACCEPT3,0
21,Ida stuckey 25157 sugar Hill rd Moreno valley ca 92553 2761,0
22,I need to bvb get aride I'm stuck hr er r,0
24,Plesse I'll mow the lmm qqnnhvng,0
25,2. No,0
26,Aww man,0
27,I'm not sure if I can get approval,0
28,I'm not in a place at this moment to call. I will call on Monday. Thank you.,0
29,Please plesse,0
30,Call me back please..,0
31,I had covid and could not make my car payment will be making my car payment sometime this weekend,0
32,Shit. How hi is the fever?,0
33,Please come gt me pkease.,0
34,Jsjdhdmhdyv0ug?yodyyodzjf Bbdkkgxjfjtsljtsitaitsk?????????,0
35,I dont want to at ssf t add y here I really want to go,0
37,62.8328 if you did not request this.Â¡Â±,0
38,will never ask you to verbally verify this code. Please call 800.4,0
39,1345 East Loma Vista Street West Covina California 91790 6 141,0
40,4444 Steve Fezzik 3 stars 411 n tex 11 412 nt lt under 65.5,0
41,What are my options,0
42,"Make payment on Oct 1, 2021",0
43,Great! ?,0
44,And stop,0
45,You and STO pea,0
46,Â©Ã¸I made a mistake comming here I'm done.let me know when H er is s custcunt please,0
47,Ok it's $100 right?,0
48,No I have not been able to schedule an appointment,0
49,"Loved Household Finances Changing? You Could Find Relief. Request $100-$40,000 Cash600.com/E69zdwV Reply STOP to opt-out",0
50,Thank you for the invite but something else is going on that I am involved in today sorry,0
51,Ok I already zelled,0
52,I'm Driving - Sent from My Car,0
53,Help ?,0
54,Stop Brenda Shirley,0
55,Ultimate cheeseburger,0
56,Thank you,0
57,Everything large with a side order of Oreo shake,0
58,Stop ?,0
59,I have not received anything,0
60,You don't understand it's too much they will find out you dumb s***,1
61,"I am signed in to Human advance plus,",0
62,Its in my mail,0
63,2 no,0
64,How many & much are the Gold & Silver Bundle tickets for Golden Anniversary? #108255092,0
66,Disastance assistance gov 1217,0
67,Sending love from Evanston??,0
68,I need someone to check to see if my payment went through,0
69,"Driving, can't text Sent from MY ROGUE",0
70,Hey can I come get blood drawn today?,0
71,Ok gracias,0
72,This sucks,1
73,I'm working till 6:30pm call me @ 214-382-7302,0
74,Hello my name is Justin Singh I made a payment this morning,0
75,I'm 64,0
76,",Adam Duncan. ,86456525438",0
77,Fuck off,1
78,Liked Â¡Â°FEMA:FEMA ID 4236 You are subscribed to FEMA text messages. Reply STOP to decline. Do not send any other info here.Â¡Â±,0
79,White one 50 black one 40,0
80,Ok I'll tell jack,0
81,Removed a like from Â¡Â°FEMA:FEMA ID 4236 You are subscribed to FEMA text messages. Reply STOP to decline. Do not send any other info here.Â¡Â±,0
82,I would like to apply for $550.00 you say even bad credit well my credit score is 577 as of September 18 . I have a medical emergency and it would be ni,0
83,ce if you could help me,0
84,"I wanted to see about adding one more night to our stay at the end. Also, we will be bringing a small 8lb dog.",0
85,I'm texting in regards to my account. Crystal Kalnoski,0
86,"Copy, still confirmed. Thank you",0
87,Hey how are you sending me infor through here,0
88,Rachel has tested positive,0
89,Ok. I'll call before 2:00,0
90,I'm trying to call you,0
91,I have already spoken to someone from your dept.,0
92,I really need some help I have a boy has been sexually abused and my other children are really beaten up by CPS,0
93,Please help,0
95,No Symptoms,0
96,Flesh of the Spirit,0
97,Janice Barnes,0
98,Unfortunately Karisma was not feeling well as she was in contact with covid.. With that said we decided to not join but not by choice cuz she's very upset is there anything we can do like maybe submit a video ?,0
100,Removed a question mark from Â¡Â°Easypay Finance:Reminder Margo,0
101,call 1-844-282-4948Â¡Â±,0
102,"You have the wrong phone number. Next time this patient comes in, please ask him to give you his correct number. I am getting ALL of his notifications.",0
103,Thiah Muhammad,0
104,Sorry baby I had to get my baby dressed and ready because he's leaving to his cousins birthday party,0
105,Just dropped off a payment I will do another one on the 3rd or 4th depending on how late it is when I have a chance to do it,0
106,Thanks for reaching out. I can't chat at the moment but I'll text you back as soon as I can. Thanks. -Sent from Text Free,0
108,ot of medical bills and a couple of Visa's how can I start to estab,0
109,Doesn't do any good not just poor credit I have no credit. Just a l,0
110,lish any kind of credit ? no one.,0
111,2 and 2,0
113,Is obedience legalism? Above,0
115,"Ok I will contact you next week, thanks",0
116,Yes i will call,0
117,Accept Accept2,0
118,I'm Driving - Sent from MY CAR,0
122,I got to be reffed then the page went no connect and no reload page,0
123,Fox lodge,0
124,I don't do hc,0
125,"[Auto Reply] NOTICE: If you're reading this, it means I'm currently unable to read your text. If it is both important and urgent, please call. Thanks!",0
126,Can't make today,0
127,Have lease!,0
128,Really??!!! Why waste my time when no matter what I will be denied.,0
129,I'd like to subscribe,0
130,I am waiting on a reply!,0
131,"Sorry, canÂ¡Â¯t talk right nowÂ¡Â¦",0
132,21pch The PCH have concluded. Thank you for your participation.,0
133,Actually the 145 taken out of my account says otherwise,0
134,Wow a miss on favorite moderator and 1 minute on pool. Unless the vote was before 1:45 and text on hearing concluded was delayed. ?,0
135,Removed a dislike from Â¡Â°You could find what you need to make,0
136,"Request $100 to $40,000 today! Cash600.com/BdmOVPM Reply Stop to",0
137,I'll visit the store. Thank you.,0
138,i didnot get.,0
139,STOP TEXTING MY PHONE,0
141,Get a reminder,0
143,Yes i am looking for funds,0
144,Thank you so much And thanks for such an important need,0
145,Hello. I have been out of work for 2 weeks sick with covid.,0
146,I just made two payments,0
147,I love?????,0
148,Due to an unforeseen family emergency...I unfortunately cannot make this call tonight,0
149,Panorama prophecy,0
150,I tried to defer my payment but it wouldnt let me,0
152,Payment was extended to 10/09/21,0
153,You wii get the rest next week i send the rest plus sept i b? caut up thanks,0
154,How do I get a set of study guides,0
155,Next week I'll make arrangements,0
156,I. I. M. I I hv in. I yvh,0
157,No body is tryna give me any money,0
158,cancel for now. we will be in touch.,0
159,Th m I. up hm I mhmm immune To &.,0
160,Stop to stop,0
161,H or can you guys help me ?,0
162,Hi I am pregnant and want to give my baby up for adoption what do I need to do to start the process to get financial help I am currently homeless on the streets so I dont have a mailing address I am 20 weeks my name us Kelci Dowell can you please help me or tell me what steps I need to take? thank you,0
163,Yes okay,0
164,Yes. We need help on 27th sept,0
165,Please call back,0
166,9-26Sunday2021 John So No Wang So No,0
167,Stop texting me i am not Robert ?,0
168,And Wewillisisisistoisisisandandandzzt?????,0
169,Il high hfkhkg jug is good utter I' gling,0
